date_of_birth,nationality,gender,ethnic_group,occupation,academic_degree,id,label,quotation
1940,['United Kingdom'],['male'],['African Americans'],['theologian'],['doctorate'],Q6224777,john calamos,3
1940,['Canada'],['male'],['American Jews'],['association football player'],"['Bachelor of Science', 'Master of Science']",Q6832744,michael mclaughlin,4
1940,['United States of America'],['male'],['Britons'],['politician'],['doctorate'],Q11645166,yukio noguchi,3
1940,['United States of America'],['male'],['African Americans'],"['climatologist', 'atmospheric scientist']",['Juris Doctor'],Q132596,tarō asō,4
1940,['United States of America'],['male'],['Jewish people'],"['psychotherapist', 'journalist', 'spiritualist', 'psychologist', 'musicologist', 'theologian', 'therapist', 'writer']",['Doctor of Philosophy'],Q6233100,john fife,4
1940,['United Kingdom'],['male'],['Punjabi people'],['singer'],['Doctor of Sciences'],Q7181775,phil chen,46
1941,['Canada'],['male'],['African Americans'],['businessperson'],['doctorate'],Q17484236,"sir mark palmer, 5th baronet",12
1941,['United States of America'],['male'],['African Americans'],['ice hockey player'],['Doctor of Sciences in Medicine'],Q7518409,simon campbell,3
1941,['United States of America'],['male'],['African Americans'],"['diplomat', 'academic', 'professor', 'lawyer', 'politician', 'writer']","['Doctor of Historical Sciences', 'Candidate of Sociological sciences']",Q12731414,john mark taylor,5
1941,['Australia'],['male'],"['English American', 'French Canadian American', 'Irish Americans', 'Scottish American', 'Swedish American']","['chemist', 'biologist', 'biochemist']",,Q295684,michael stuart brown,4
1941,"['India', 'British India', 'Dominion of India']",['male'],['African Americans'],"['politician', 'businessperson', 'television producer']",,Q6490307,larry fink,52
1941,['Nigeria'],['male'],['African Americans'],"['drummer', 'composer', 'jazz musician']",,Q511074,dr. john,3
1941,['United Kingdom'],['male'],['African Americans'],['writer'],,Q15455202,benjamin weiss,4
1942,['United States of America'],['male'],['African Americans'],"['statistician', 'mathematician']",,Q152905,jean-claude trichet,3
1942,['New Zealand'],['male'],['African Americans'],"['lawyer', 'politician', 'judge']",,Q18224055,james f. scott,11
1942,"['India', 'British India', 'Dominion of India']",['male'],['African Americans'],"['musician', 'university teacher']",,Q3498945,steve hanke,21
1942,['United Kingdom'],['male'],['African Americans'],['musician'],,Q3135104,heywood gould,4
1942,['United Kingdom'],['male'],['African Americans'],['politician'],,Q607,michael bloomberg,211
1942,['United States of America'],['male'],['Han Chinese people'],['politician'],,Q5945845,josé toro hardy,3
1943,['Australia'],['male'],['Han Chinese people'],"['economist', 'university teacher', 'science writer', 'non-fiction writer', 'professor', 'critic', 'writer']",,Q1701897,"john taylor, baron taylor of holbeach",5
1943,['United Kingdom'],['male'],['Han Chinese people'],"['guitarist', 'singer', 'songwriter', 'musician', 'singer-songwriter']",,Q18430,joseph e. stiglitz,43
1943,['United Kingdom'],['male'],['Han Chinese people'],"['singer', 'songwriter']",,Q6111740,jack collins,3
1943,['Ireland'],['male'],,['businessperson'],,Q529992,vítor constâncio,4
1944,['United States of America'],['male'],,['cricketer'],,Q6834506,michael solomon,6
1944,"['United Kingdom', 'United States of America']",['male'],,"['physicist', 'university teacher']",,Q5244721,haruhiko kuroda,5
1944,['United Kingdom'],['male'],,['architect'],,Q907936,bill h. gross,4
1944,['United States of America'],['male'],,['sculptor'],,Q7793127,thomas peterffy,17
1944,['United States of America'],['male'],,['cinematographer'],,Q4275191,john j. mack,3
1944,['United States of America'],['male'],,['athletics competitor'],,Q1334654,emanuel cleaver,3
1944,['United States of America'],['male'],,"['economist', 'professor']",,Q88443,ewald nowotny,12
1945,['Scotland'],['male'],,['cricketer'],,Q6176236,jeffrey robinson,6
1945,['United States of America'],['male'],,['painter'],,Q5920846,howard schwartz,3
1945,['United States of America'],['male'],,['diplomat'],,Q45864,john mcafee,117
1945,['United States of America'],['male'],,['politician'],,Q371212,richard thaler,3
1945,['United States of America'],['male'],,"['archaeologist', 'prehistorian', 'anthropologist', 'university teacher']",,Q457786,rodrigo duterte,71
1946,['United States of America'],['male'],,"['author', 'poet lawyer', 'writer']",,Q28124344,john o'reilly,3
1946,['Australia'],['male'],,['politician'],,Q4758931,andrew williamson,3
1946,['United Kingdom'],['male'],,"['actor', 'film actor', 'stage actor', 'television actor']",,Q6831542,michael jabez foster,5
1946,['United States of America'],['female'],,['politician'],,Q263725,janet yellen,36
1946,['United States of America'],['male'],,['film critic'],,Q5258518,dennis hof,7
1946,['United States of America'],['male'],,"['economist', 'non-fiction writer']",,Q967487,john b. taylor,5
1946,['United States of America'],['male'],,['cricketer'],,Q338151,robert j. shiller,9
1946,['United States of America'],['male'],,"['philosopher', 'professor', 'writer', 'politician']",,Q7344936,robert greenfield,3
1946,['United States of America'],['male'],,['researcher'],,Q358443,jeff sessions,7
1946,['United States of America'],['male'],,['astrophysicist'],,Q1509834,gerald celente,7
1946,['Australia'],['male'],,['nurse'],,Q2466261,dave harding,7
1947,['United Kingdom'],['male'],,"['economist', 'politician', 'military officer']",,Q8008048,william dudley,9
1947,['Canada'],['male'],,['photographer'],,Q15707390,stephen e. miller,4
1947,['Germany'],['male'],,"['writer', 'novelist', ""children's writer""]",,Q984369,don tapscott,12
1947,['United States of America'],['male'],,['American football player'],,Q457432,tom carper,21
1947,['United States of America'],['male'],,"['news presenter', 'radio personality', 'economist', 'television presenter', 'journalist', 'writer', 'businessperson']",,Q311147,robert kiyosaki,5
1947,['United States of America'],['male'],,['Australian rules football player'],,Q5228397,dave bradley,3
1947,['United States of America'],['male'],,['teacher'],,Q8002865,will hobbs,4
1947,['United Kingdom'],['male'],,['Australian rules football player'],,Q294460,mario draghi,29
1947,['United Kingdom'],['male'],,['Australian rules football player'],,Q18218227,peter yeo,4
1947,['United Kingdom'],['male'],,"['journalist', 'television journalist', 'radio journalist']",,Q7238853,praveen kumar sobti,10
1947,"['Soviet Union', 'Russia']",['transgender male'],,"['actor', 'television actor']",,Q12965271,jesus dureza,22
1948,['Canada'],['male'],,['environmentalist'],,Q21459633,terry duffy,39
1948,['Germany'],['male'],,['composer'],,Q20970668,robert joseph young,4
1948,['United States of America'],['male'],,"['professional wrestler', 'manager']",,Q7172186,pete overend watts,3
1948,['United States of America'],['male'],,"['politician', 'teacher']",,Q198026,zhou xiaochuan,8
1948,['United States of America'],['male'],,"['tour guide', 'biographer']",,Q298341,raymond kurzweil,6
1948,['Turkey'],['male'],,['writer'],,Q19673,al gore,21
1948,['United Kingdom'],['male'],,['singer'],,Q2347152,mahesh bhatt,3
1949,['United Kingdom'],['male'],,"['association football manager', 'association football player']",,Q15052960,michael j. h. taylor,3
1949,['Canada'],['male'],,['judge'],,Q6247001,john martin taylor,5
1949,['United States of America'],['female'],,"['singer-songwriter', 'composer']",,Q2099975,willem buiter,3
1949,['United States of America'],['male'],,"['politician', 'lobbyist', 'businessperson']",,Q4858830,barbara corcoran,4
1949,['Australia'],['male'],,"['astronaut', 'military personnel', 'aircraft pilot']",,Q260045,john riggins,3
1949,['Argentina'],['male'],,"['politician', 'diplomat', 'statesperson', 'military personnel', 'political writer', 'political scientist']",,Q7627184,stuart varney,3
1949,['Lebanon'],['male'],,['singer'],,Q3436110,robert prechter,6
1949,['South Korea'],['male'],,['Canadian football player'],,Q7297378,ray dalio,25
1949,['United Kingdom'],['male'],,['mathematician'],,Q513607,yves mersch,4
1949,['United Kingdom'],['male'],,['businessperson'],,Q43723,benjamin netanyahu,5
1949,['United Kingdom'],['female'],,['politician'],,Q16136994,mustafa jabbar,4
1950,['Germany'],['male'],,"['lawyer', 'politician', 'diplomat']",,Q29048577,alex tapscott,18
1950,['Germany'],['male'],,['businessperson'],,Q5314260,duncan b. campbell,4
1950,['Ireland'],['male'],,"['writer', 'journalist', 'screenwriter', 'novelist', 'film producer', 'television producer']",,Q24004537,randy howard,7
1950,['Ireland'],['male'],,['amateur wrestler'],,Q24049135,kirill tatarinov,3
1950,['Spain'],['male'],,['cricketer'],,Q41694063,emin gün sirer,26
1950,['United States of America'],['male'],,['audio engineer'],,Q194419,richard branson,113
1950,['United States of America'],['male'],,"['mathematician', 'financial analyst', 'author']",,Q7613749,steve rider,3
1950,['United States of America'],['male'],,"['military officer', 'politician']",,Q17198666,thomas robinson,43
1950,['United States of America'],['male'],,['film director'],,Q736074,jorge stolfi,3
1950,['India'],['male'],,['politician'],,Q6376367,katherine fernandez rundle,5
1950,['United Kingdom'],['male'],,['cellist'],,Q16144788,andy bryant,10
1950,['United Kingdom'],['male'],,['artist'],,Q3181088,john bollinger,6
1950,['United Kingdom'],['male'],,"['politician', 'lawyer']",,Q785231,harry dent,4
1950,['United Kingdom'],['male'],,['association football player'],,Q215057,rick perry,4
1950,['United Kingdom'],['male'],,"['writer', 'journalist']",,Q6221862,john bigelow taylor,5
1950,"[""People's Republic of China""]",['male'],,['banker'],,Q27044068,rob morgan,4
1950,['Germany'],['male'],,['choreographer'],,Q483382,steve wozniak,55
1950,['United States of America'],['male'],,['association football player'],,Q1058,narendra modi,8
1951,['United States of America'],['male'],,"['political activist', 'philosopher', 'non-fiction writer']",,Q1655497,sir ian davis,3
1951,['United States of America'],['male'],,"['amateur wrestler', 'professional wrestler']",,Q1631770,sir howard davies,3
1951,['South Korea'],['male'],,"['computer scientist', 'cryptographer', 'cypherpunk']",,Q434376,wendy mcelroy,7
1951,['United Kingdom'],['male'],,"['cricketer', 'screenwriter']",,Q532423,bob iger,3
1951,['United Kingdom'],['male'],,['judge'],,Q5180835,craig cobb,3
1951,['England'],['male'],,"['actor', 'judoka', 'karateka']",,Q6224465,john c. j. taylor,5
