Date,Close,Open,High,Low,Volume
2020/4/30,8658.55 ,8797.67 ,9440.65 ,8533.26 ,66964629541.00 
2020/4/29,8801.04 ,7806.71 ,8871.75 ,7786.05 ,60201052203.00 
2020/4/28,7807.06 ,7796.97 ,7814.53 ,7730.81 ,33187959921.00 
2020/4/27,7795.60 ,7679.42 ,7795.60 ,7679.42 ,36162144725.00 
2020/4/26,7679.87 ,7570.14 ,7700.59 ,7561.41 ,33070154491.00 
2020/4/25,7569.94 ,7550.48 ,7641.36 ,7521.67 ,32941541447.00 
2020/4/24,7550.90 ,7434.18 ,7574.20 ,7434.18 ,34636526286.00 
2020/4/23,7429.72 ,7121.31 ,7491.78 ,7081.59 ,43500782316.00 
2020/4/22,7117.21 ,6879.44 ,7145.87 ,6867.78 ,33249153866.00 
2020/4/21,6880.32 ,6879.78 ,6934.55 ,6834.44 ,32589741511.00 
2020/4/20,6881.96 ,7186.87 ,7240.29 ,6835.50 ,37747113936.00 
2020/4/19,7189.42 ,7260.92 ,7280.52 ,7167.05 ,31311210215.00 
2020/4/18,7257.66 ,7092.29 ,7269.96 ,7089.25 ,32447188386.00 
2020/4/17,7096.18 ,7116.55 ,7167.18 ,7050.33 ,32513423567.00 
2020/4/16,7116.80 ,6640.45 ,7134.45 ,6555.50 ,46783242377.00 
2020/4/15,6642.11 ,6845.56 ,6928.66 ,6633.40 ,32288311031.00 
2020/4/14,6842.43 ,6843.28 ,6958.56 ,6793.82 ,34110434052.00 
2020/4/13,6845.04 ,6965.62 ,6965.62 ,6668.26 ,38619308647.00 
2020/4/12,6971.09 ,6858.07 ,7119.95 ,6811.08 ,35759567632.00 
2020/4/11,6859.08 ,6867.44 ,6926.07 ,6789.92 ,31222085946.00 
2020/4/10,6865.49 ,7303.82 ,7303.82 ,6802.47 ,43622840992.00 
2020/4/9,7302.09 ,7337.97 ,7341.45 ,7179.09 ,34815139178.00 
2020/4/8,7334.10 ,7179.28 ,7356.22 ,7153.31 ,37563249549.00 
2020/4/7,7176.41 ,7273.64 ,7427.94 ,7136.71 ,44243482668.00 
2020/4/6,7271.78 ,6788.05 ,7271.78 ,6782.89 ,46896904615.00 
2020/4/5,6791.13 ,6862.54 ,6883.41 ,6715.93 ,29510409856.00 
2020/4/4,6867.53 ,6738.38 ,6878.95 ,6696.48 ,33185988584.00 
2020/4/3,6733.39 ,6797.40 ,7003.22 ,6673.34 ,38976504903.00 
2020/4/2,6793.62 ,6606.78 ,7088.25 ,6595.92 ,47660646124.00 
2020/4/1,6606.78 ,6437.32 ,6612.57 ,6202.37 ,40346426266.00 
2020/3/31,6438.64 ,6430.61 ,6504.52 ,6374.16 ,32786468812.00 
2020/3/30,6429.84 ,5925.54 ,6517.20 ,5903.23 ,37101651525.00 
2020/3/29,5922.04 ,6245.62 ,6250.47 ,5920.09 ,28373690931.00 
2020/3/28,6242.19 ,6467.25 ,6467.50 ,6117.84 ,34885225901.00 
2020/3/27,6469.80 ,6719.39 ,6793.84 ,6466.70 ,34585598367.00 
2020/3/26,6716.44 ,6675.17 ,6735.46 ,6590.96 ,35319797642.00 
2020/3/25,6681.06 ,6738.72 ,6892.51 ,6536.93 ,44590107888.00 
2020/3/24,6734.80 ,6436.64 ,6789.02 ,6411.07 ,48221910672.00 
2020/3/23,6416.31 ,5831.37 ,6443.93 ,5785.00 ,46491916000.00 
2020/3/22,5830.25 ,6185.56 ,6359.70 ,5823.71 ,40099664740.00 
2020/3/21,6185.07 ,6206.52 ,6378.14 ,5932.82 ,42494390880.00 
2020/3/20,6198.78 ,6191.65 ,6844.26 ,5865.78 ,54442976103.00 
2020/3/19,6191.19 ,5245.42 ,6329.74 ,5236.97 ,51000731797.00 
2020/3/18,5238.44 ,5227.11 ,5331.83 ,5069.34 ,37878801016.00 
2020/3/17,5225.63 ,5002.58 ,5371.35 ,4981.91 ,38622642935.00 
2020/3/16,5014.48 ,5385.23 ,5385.23 ,4575.36 ,45368026430.00 
2020/3/15,5392.31 ,5201.07 ,5836.65 ,5169.28 ,33997889639.00 
2020/3/14,5200.37 ,5573.08 ,5625.23 ,5125.07 ,36154506008.00 
2020/3/13,5563.71 ,5017.83 ,5838.11 ,4106.98 ,74156772075.00 
2020/3/12,4970.79 ,7913.62 ,7929.12 ,4860.35 ,53980357243.00 
2020/3/11,7911.43 ,7910.09 ,7950.81 ,7642.81 ,38682762605.00 
2020/3/10,7909.73 ,7922.15 ,8136.95 ,7814.76 ,42213940994.00 
2020/3/9,7923.64 ,8111.15 ,8177.79 ,7690.10 ,46936995808.00 
2020/3/8,8108.12 ,8908.21 ,8914.34 ,8105.25 ,39973102121.00 
2020/3/7,8909.95 ,9121.60 ,9163.22 ,8890.74 ,36216930370.00 
2020/3/6,9122.55 ,9078.31 ,9167.70 ,9032.08 ,40826885651.00 
2020/3/5,9078.76 ,8760.29 ,9142.05 ,8757.25 ,39698054597.00 
2020/3/4,8755.25 ,8788.54 ,8843.37 ,8712.43 ,34746706368.00 
2020/3/3,8787.79 ,8865.39 ,8901.60 ,8704.99 ,42386715821.00 
2020/3/2,8869.67 ,8563.26 ,8921.31 ,8532.63 ,42857674409.00 
2020/3/1,8562.45 ,8599.76 ,8726.80 ,8471.21 ,35349164300.00 
2020/2/29,8599.51 ,8671.21 ,8775.63 ,8599.51 ,35792392544.00 
2020/2/28,8672.46 ,8788.73 ,8890.46 ,8492.93 ,44605450443.00 
2020/2/27,8784.49 ,8825.09 ,8932.89 ,8577.20 ,45470195695.00 
2020/2/26,8820.52 ,9338.29 ,9354.78 ,8704.43 ,50420050762.00 
2020/2/25,9341.71 ,9651.31 ,9652.74 ,9305.02 ,42515259129.00 
2020/2/24,9650.17 ,9921.58 ,9951.75 ,9537.04 ,45080496648.00 
2020/2/23,9924.52 ,9663.32 ,9937.40 ,9657.79 ,41185185761.00 
2020/2/22,9663.18 ,9687.71 ,9698.23 ,9600.73 ,35838025154.00 
2020/2/21,9686.44 ,9611.78 ,9723.01 ,9589.74 ,40930547513.00 
2020/2/20,9608.48 ,9629.33 ,9643.22 ,9507.90 ,44925260237.00 
2020/2/19,9633.39 ,10143.80 ,10191.68 ,9611.22 ,46992019710.00 
2020/2/18,10142.00 ,9691.23 ,10161.94 ,9632.38 ,47271023953.00 
2020/2/17,9690.14 ,9936.56 ,9938.82 ,9507.64 ,45998298413.00 
2020/2/16,9934.43 ,9889.18 ,10053.97 ,9722.39 ,43374780305.00 
2020/2/15,9889.42 ,10313.86 ,10341.56 ,9874.43 ,43865054831.00 
2020/2/14,10312.12 ,10211.55 ,10322.00 ,10125.53 ,43338264162.00 
2020/2/13,10214.38 ,10323.96 ,10457.63 ,10116.16 ,49356071373.00 
2020/2/12,10326.05 ,10202.39 ,10393.61 ,10202.39 ,43444303830.00 
2020/2/11,10208.24 ,9855.89 ,10210.05 ,9729.33 ,37648059389.00 
2020/2/10,9856.61 ,10115.56 ,10165.77 ,9784.56 ,39386548075.00 
2020/2/9,10116.67 ,9863.89 ,10129.44 ,9850.39 ,35807884663.00 
2020/2/8,9865.12 ,9793.07 ,9876.75 ,9678.91 ,35172043762.00 
2020/2/7,9795.94 ,9726.00 ,9834.72 ,9726.00 ,34522718159.00 
2020/2/6,9729.80 ,9617.82 ,9824.62 ,9539.82 ,37628823716.00 
2020/2/5,9613.42 ,9183.42 ,9701.30 ,9163.70 ,35222060874.00 
2020/2/4,9180.96 ,9292.84 ,9331.27 ,9112.81 ,29893183716.00 
2020/2/3,9293.52 ,9344.68 ,9540.37 ,9248.63 ,30934096509.00 
2020/2/2,9344.37 ,9389.82 ,9468.80 ,9217.82 ,30835736946.00 
2020/2/1,9392.88 ,9346.36 ,9439.32 ,9313.24 ,25922656496.00 
2020/1/31,9350.53 ,9508.31 ,9521.71 ,9230.78 ,29432489719.00 
2020/1/30,9508.99 ,9316.02 ,9553.13 ,9230.90 ,32378792851.00 
2020/1/29,9316.63 ,9357.47 ,9406.43 ,9269.47 ,30682598115.00 
2020/1/28,9358.59 ,8912.52 ,9358.59 ,8908.45 ,34398744403.00 
2020/1/27,8909.82 ,8597.31 ,8977.73 ,8597.31 ,28647338393.00 
2020/1/26,8596.83 ,8364.41 ,8602.40 ,8325.50 ,22177678796.00 
2020/1/25,8367.85 ,8440.12 ,8458.45 ,8296.22 ,19647331549.00 
2020/1/24,8445.43 ,8405.57 ,8514.67 ,8266.84 ,24397913026.00 
2020/1/23,8406.52 ,8680.65 ,8687.75 ,8333.64 ,25770680779.00 
2020/1/22,8680.88 ,8744.21 ,8792.99 ,8636.75 ,22600204051.00 
2020/1/21,8745.89 ,8658.99 ,8755.71 ,8544.52 ,24097418512.00 
2020/1/20,8657.64 ,8704.63 ,8745.59 ,8560.47 ,26422375678.00 
2020/1/19,8706.25 ,8941.45 ,9164.36 ,8620.08 ,34217320471.00 
2020/1/18,8942.81 ,8927.21 ,9012.20 ,8827.33 ,32337772627.00 
2020/1/17,8929.04 ,8725.21 ,8958.12 ,8677.32 ,36372139320.00 
2020/1/16,8723.79 ,8812.48 ,8846.46 ,8612.10 ,31313981931.00 
2020/1/15,8807.01 ,8825.34 ,8890.12 ,8657.19 ,40102834650.00 
2020/1/14,8827.76 ,8140.93 ,8879.51 ,8140.93 ,44841784107.00 
2020/1/13,8144.19 ,8189.77 ,8197.79 ,8079.70 ,22482910688.00 
2020/1/12,8192.49 ,8033.26 ,8200.06 ,8009.06 ,22903438381.00 
2020/1/11,8037.54 ,8162.19 ,8218.36 ,8029.64 ,25521165085.00 
2020/1/10,8166.55 ,7878.31 ,8166.55 ,7726.77 ,28714583844.00 
2020/1/9,7879.07 ,8082.30 ,8082.30 ,7842.40 ,24045990466.00 
2020/1/8,8079.86 ,8161.94 ,8396.74 ,7956.77 ,31672559265.00 
2020/1/7,8163.69 ,7768.68 ,8178.22 ,7768.23 ,28767291327.00 
2020/1/6,7769.22 ,7410.45 ,7781.87 ,7409.29 ,23276261598.00 
2020/1/5,7411.32 ,7410.45 ,7544.50 ,7400.54 ,19725074095.00 
2020/1/4,7410.66 ,7345.38 ,7427.39 ,7309.51 ,18444271275.00 
2020/1/3,7344.88 ,6984.43 ,7413.72 ,6915.00 ,28111481032.00 
2020/1/2,6985.47 ,7202.55 ,7212.16 ,6935.27 ,20802083465.00 
2020/1/1,7200.17 ,7194.89 ,7254.33 ,7174.94 ,18565664997.00 
2019/12/31,7193.60 ,7294.44 ,7335.29 ,7169.78 ,21167946112.00 
2019/12/30,7293.00 ,7420.27 ,7454.82 ,7276.31 ,22874131672.00 
2019/12/29,7422.65 ,7317.65 ,7513.95 ,7279.87 ,22445257702.00 
2019/12/28,7317.99 ,7289.03 ,7399.04 ,7286.91 ,21365673026.00 
2019/12/27,7290.09 ,7238.14 ,7363.53 ,7189.93 ,22777360996.00 
2019/12/26,7238.97 ,7274.80 ,7388.30 ,7200.39 ,22787010034.00 
2019/12/25,7275.16 ,7325.76 ,7357.02 ,7220.99 ,21559505149.00 
2019/12/24,7322.53 ,7354.39 ,7535.72 ,7269.53 ,22991622105.00 
2019/12/23,7355.63 ,7508.90 ,7656.18 ,7326.19 ,27831788041.00 
2019/12/22,7511.59 ,7191.19 ,7518.03 ,7167.18 ,23134537956.00 
2019/12/21,7191.16 ,7220.59 ,7223.23 ,7112.74 ,19312552168.00 
2019/12/20,7218.82 ,7208.64 ,7257.92 ,7086.12 ,22633815180.00 
2019/12/19,7202.84 ,7277.59 ,7346.60 ,7041.38 ,25904604416.00 
2019/12/18,7276.80 ,6647.70 ,7324.98 ,6540.05 ,31836522778.00 
2019/12/17,6640.52 ,6931.32 ,6964.07 ,6587.97 ,22363804217.00 
2019/12/16,6932.48 ,7153.66 ,7171.17 ,6903.68 ,20213265950.00 
2019/12/15,7152.30 ,7124.24 ,7181.08 ,6924.38 ,16881129804.00 
2019/12/14,7124.67 ,7268.90 ,7308.84 ,7097.21 ,17137029730.00 
2019/12/13,7269.68 ,7244.66 ,7293.56 ,7227.12 ,17125736940.00 
2019/12/12,7243.13 ,7216.74 ,7266.64 ,7164.74 ,18927080224.00 
2019/12/11,7217.43 ,7277.20 ,7324.16 ,7195.53 ,16350490689.00 
2019/12/10,7278.12 ,7397.13 ,7424.02 ,7246.04 ,18249031195.00 
2019/12/9,7400.90 ,7561.80 ,7618.09 ,7365.99 ,17872021272.00 
2019/12/8,7564.35 ,7551.34 ,7634.61 ,7476.09 ,15409908086.00 
2019/12/7,7556.24 ,7547.27 ,7589.95 ,7525.71 ,15453520564.00 
2019/12/6,7547.00 ,7450.56 ,7547.00 ,7392.18 ,18104466307.00 
2019/12/5,7448.31 ,7253.24 ,7743.43 ,7232.68 ,18816085231.00 
2019/12/4,7252.03 ,7320.13 ,7539.78 ,7170.92 ,21664240918.00 
2019/12/3,7320.15 ,7323.98 ,7418.86 ,7229.36 ,14797485769.00 
2019/12/2,7321.99 ,7424.04 ,7474.82 ,7233.40 ,17082040706.00 
2019/12/1,7424.29 ,7571.62 ,7571.62 ,7291.34 ,18720708479.00 
2019/11/30,7569.63 ,7764.06 ,7836.10 ,7515.85 ,17158194786.00 
2019/11/29,7761.24 ,7466.73 ,7781.18 ,7460.76 ,19709695456.00 
2019/11/28,7463.11 ,7536.82 ,7730.07 ,7454.12 ,19050116751.00 
2019/11/27,7531.66 ,7220.88 ,7619.69 ,6974.17 ,23991412764.00 
2019/11/26,7218.37 ,7145.16 ,7320.23 ,7098.57 ,21129505542.00 
2019/11/25,7146.13 ,7039.98 ,7319.86 ,6617.17 ,42685231262.00 
2019/11/24,7047.92 ,7398.63 ,7408.58 ,7029.29 ,30433517289.00 
2019/11/23,7397.80 ,7296.16 ,7442.26 ,7151.42 ,21008924418.00 
2019/11/22,7296.58 ,7643.57 ,7697.38 ,6936.71 ,34242315785.00 
2019/11/21,7642.75 ,8023.64 ,8110.10 ,7597.38 ,22514243371.00 
2019/11/20,8027.27 ,8203.61 ,8237.24 ,8010.51 ,20764300437.00 
2019/11/19,8206.15 ,8305.13 ,8408.52 ,8099.96 ,21083613816.00 
