quoteID,quotation,speaker,qids,date,numOccurrences,probas,urls,phase
2020-04-09-042717,"Please beware of this fake dick and others like him. Dozens of female followers have sent me his (yes I'm gon na go out on a limb and assume it's a him) messages lately. He usually starts with `Hello pretty lady.' Normally I report these guys and @instagram takes them down immediately. But lately, I'm guessing due to the quarantine, this hasn't been happening (I'm also getting way more spam assholes on my page offering bitcoin opportunities, etc, that I just delete immediately). Anyway, be careful,",James Gunn,"['Q1152925', 'Q715505', 'Q717015']",2020-04-09 20:03:38,1,"[['James Gunn', '0.5266'], ['None', '0.4327'], ['Mark Hamill', '0.0407']]",['https://comicbook.com/dc/2020/04/09/james-gunn-suicide-squad-fake-instagram/'],E
2020-03-25-000544,"$6,000,000,000,000 stimulus package for just one country. And you don't think Bitcoin can reach a $2T market cap? ($100k/coin).",Changpeng Zhao,['Q52714313'],2020-03-25 11:32:00,1,"[['Changpeng Zhao', '0.5139'], ['None', '0.4861']]",['https://cointelegraph.com/news/bitcoin-price-rejects-7k-but-tone-vays-says-75-chance-btc-bottomed'],E
2020-01-23-104392,"We can avoid these problems by providing an adequate level of stable funding, allowing Bitcoin Cash to thrive and succeed.",None,[],2020-01-23 12:30:24,1,"[['None', '0.5938'], ['Roger Ver', '0.4062']]",['http://www.coindesk.com/bitcoin-cash-miners-propose-controversial-soft-fork-for-zcash-style-development-fund'],E
2020-01-31-120910,"With Bitcoin, you have that opportunity. You're owning a piece of the protocol that's dominating.",Max Keiser,['Q983539'],2020-01-31 10:41:00,1,"[['Max Keiser', '0.8961'], ['None', '0.1039']]",['https://cointelegraph.com/news/1-bitcoin-no-longer-crazy-for-portfolios-says-morgan-creek-ceo'],E
2020-02-10-106691,"XRP and many other cryptos, like ETH are still in the `proving' phase. They aren't going to succeed as solely a store of value as BTC has taken that lane,",None,[],2020-02-10 22:00:47,1,"[['None', '0.9549'], ['Tushar Jain', '0.0451']]",['https://news.bitcoin.com/xrp-third-largest-founder-dumps-1-billion/'],E
2020-01-13-027291,I look at 2020 as the easiest way to make money in crypto is gon na be a position in Bitcoin.,Thomas Lee,"['Q49764058', 'Q53953082', 'Q54556224', 'Q54557092', 'Q54635300', 'Q57434756', 'Q7791777', 'Q7791780', 'Q9031661']",2020-01-13 12:25:43,1,"[['Thomas Lee', '0.7763'], ['None', '0.2237']]",['http://www.ibtimes.com/bitcoin-price-prediction-100-gain-expected-2020-analyst-suggests-2901207'],E
2020-04-01-015962,"Gold is $9T. How many transactions per second does gold do? I mean shipping the underlying between vaults. That's BTC main chain. The swaps we do on ETFs and derivatives is Gold's layer 2. That s -- t scales, so will BTC's layer 2.",None,[],2020-04-01 03:11:00,1,"[['None', '0.879'], ['Samson Mow', '0.121']]",['https://cointelegraph.com/news/economist-jeffrey-tucker-can-you-imagine-btc-price-if-it-had-scaled'],E
2020-02-17-057113,tacitly acknowledg [ ed ] his role in the Bitcoin project,None,[],2020-02-17 04:50:22,1,"[['None', '0.6252'], ['Leah McGrath Goodman', '0.3748']]",['https://news.bitcoin.com/many-facts-dorian-nakamoto-satoshi/'],E
2020-02-26-060986,"Thanks to Speedworks's BTCC programme with Toyota, we know how professional and dedicated they are, so we are convinced they will be able to show the potential of the GR Supra GT4.",None,[],2020-02-26 09:53:05,1,"[['None', '0.9341'], ['Martin Plowman', '0.0659']]",['http://autosport.com/national/news/148434/btcc-squad-speedworks-to-race-in-british-gt'],E
2020-03-05-081733,"We expect trading volumes to surge because, from our side, we are going to do our best to remove any doubts that people may have regarding cryptos. Also, global exchanges have been seeing huge potential in India over the past year or so. That is why they partnered with us even when the ban was in place.",Sumit Gupta,"['Q39063420', 'Q55094106']",2020-03-05 15:46:00,1,"[['Sumit Gupta', '0.874'], ['None', '0.126']]",['https://cointelegraph.com/news/india-back-in-the-race-landmark-judgment-to-fuel-crypto-adoption'],E
2020-01-29-036775,"I pointed out on Twitter a couple days ago that what bitcoin needed to do was hold support here at the middle Bollinger Band, and that's exactly what its done,",John Bollinger,['Q3181088'],2020-01-29 00:00:00,1,"[['John Bollinger', '0.8296'], ['None', '0.1704']]",['https://www.forbes.com/sites/benjaminpirus/2020/01/29/still-to-early-to-declare-longer-term-bitcoin-trend-change/'],E
2020-01-29-101321,"This is across the board on everything, not just BTC,",None,[],2020-01-29 00:00:00,1,"[['None', '0.5771'], ['Warren Buffett', '0.4229']]",['https://www.forbes.com/sites/benjaminpirus/2020/01/29/still-to-early-to-declare-longer-term-bitcoin-trend-change/'],E
2020-04-16-030736,"I've been saying... that Bitcoin on the chart is facing massive overhead resistance. Based on this chart, this rn is a textbook opportunity to short,",Mark Cuban,['Q318503'],2020-04-16 14:00:29,1,"[['Mark Cuban', '0.5323'], ['None', '0.3675'], ['fund manager', '0.1002']]",['https://www.newsbtc.com/2020/04/16/this-one-financial-trend-will-make-bitcoin-succeed-billionaire/'],E
